Quarterly figures are available in the 2.1.1 tab and annual figures are avaliable in the 2.1.2 tab.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Note 1. Aggregate of individual solid fuels, gas, electricity and liquid fuels indices.",,,,,,,,,,,,,,,,
"Note 2. ULSP, ULSD & motor oil. Other fuels are as defined by ONS. See the Methodology tab for further details.",,,,,,,,,,,,,,,,
Note 3. ONS update the GDP Deflator on a regular basis.  As such the real terms price indices are subject to regular revisions to the whole series.,,,,,,,,,,,,,,,,
"             As the quarterly GDP deflator is used for months with a quarter, real price indices will be updated once a quarter's GDP deflator is available and are therefore less timely than the current price indices.",,,,,,,,,,,,,,,,
"Freeze panes are turned on. To turn off freeze panes select the 'View' ribbon then 'Freeze Panes' then 'Unfreeze Panes' or use [Alt,W,F]",,,,,,,,,,,,,,,,
Please see the cover sheet for a proposed methodology change to this table,,,,,,,,,,,,,,,,
Source: Office for National Statistics (ONS),,,,,,,,,,,,,,,,
Year and dataset code row,Month,Current price indices: Solid fuels,Current price indices: Gas ,Current price indices: Electricity ,Current price indices: Liquid fuels,"Current price indices: Domestic fuels
[Note 1]","Current price indices: Motor fuel & oil
[Note 2]","Current price indices: All Items CPI 2010=100
",Real price indices: Solid fuels [Note 3],Real price indices: Gas [Note 3],Real price indices: Electricity [Note 3],Real price indices: Liquid fuels [Note 3],"Real price indices: Domestic fuels
[Note 1, 3]","Real price indices: Motor fuel & oil
[Note 2, 3]","Real price indices: All Items CPI 2010=100
[Note 3]",GDP Deflator     2010=100 [Note 3]
Dataset identifier code,,D7DW,D7DU,D7DT,D7DV,D7CH,D7EC,D7BT,,,,,,,,
2005,July,60.27241770715097,54.35356200527705,63.89244558258643,68.11120196238757,60.077021822849794,75.38167938931298,87.47203579418344,67.4,60.8,71.5,76.2,67.2,84.3,97.8,89.41504178272982
2005,August,61.06696935300795,54.485488126649074,64.02048655569783,72.28127555192151,60.33376123234916,77.86259541984732,87.69574944071589,68.3,60.9,71.6,80.8,67.5,87.1,98.1,89.41504178272982
2005,September,61.74801362088536,55.145118733509236,64.7887323943662,73.83483237939494,61.103979460847235,81.58396946564885,87.9194630872483,69.1,61.7,72.5,82.6,68.3,91.2,98.3,89.41504178272982
2005,October,64.35868331441544,57.25593667546174,66.19718309859157,76.778413736713,62.90115532734274,80.43893129770993,88.03131991051454,71.8,63.8,73.8,85.6,70.1,89.7,98.1,89.69359331476325
2005,November,65.03972758229285,59.36675461741425,67.6056338028169,68.43826655764515,64.18485237483952,77.67175572519085,88.03131991051454,72.5,66.2,75.4,76.3,71.6,86.6,98.1,89.69359331476325
2005,December,65.15323496027243,60.554089709762536,68.24583866837388,70.97301717089125,65.21181001283696,75.09541984732824,88.25503355704699,72.6,67.5,76.1,79.1,72.7,83.7,98.4,89.69359331476325
2006,January,65.26674233825199,61.08179419525066,68.88604353393086,72.28127555192151,65.85365853658536,76.43129770992367,87.8076062639821,72.2,67.6,76.2,80,72.9,84.6,97.1,90.38997214484681
2006,February,65.26674233825199,61.34564643799473,69.65428937259924,73.67130008176615,66.36713735558408,76.90839694656488,88.14317673378075,72.2,67.9,77.1,81.5,73.4,85.1,97.5,90.38997214484681
2006,March,65.38024971623156,63.3245382585752,71.57490396927017,74.48896156991005,68.16431322207958,76.90839694656488,88.25503355704699,72.3,70.1,79.2,82.4,75.4,85.1,97.6,90.38997214484681
2006,April,65.49375709421113,67.28232189973615,74.64788732394366,76.61488143908423,71.50192554557124,79.86641221374046,88.81431767337807,71.5,73.4,81.5,83.6,78,87.1,96.9,91.64345403899722
