msoa21cd,Income_Score
E02000289,0.079
E02000290,0.243
E02000291,0.1496
E02000292,0.13316666666666666
E02000293,0.056
E02000294,0.20339999999999997
E02000295,0.10200000000000001
E02000296,0.13825
E02000297,0.07416666666666667
E02000298,0.0556
E02000299,0.2182
E02000300,0.21339999999999998
E02000301,0.26999999999999996
E02000302,0.1278
E02000303,0.2626
E02000304,0.0602
E02000305,0.1048
E02000306,0.2946
E02000307,0.17716666666666667
E02000308,0.14140000000000003
E02000309,0.23316666666666666
E02000311,0.1795
E02000312,0.122
E02000313,0.21125000000000002
E02000314,0.15457142857142858
E02000315,0.25220000000000004
E02000317,0.19733333333333333
E02000318,0.185
E02000319,0.16166666666666665
E02000320,0.13674999999999998
E02000321,0.22775
E02000323,0.21783333333333332
E02000324,0.18825
E02000326,0.14024999999999999
E02000327,0.20625
E02000328,0.1095
E02000329,0.13525
E02000331,0.183
E02000332,0.1046
E02000333,0.08025
E02000334,0.154
E02000335,0.07100000000000001
E02000337,0.18080000000000002
E02000339,0.09525
E02000340,0.089
E02000341,0.23420000000000002
E02000342,0.13966666666666666
E02000343,0.1545
E02000344,0.079
E02000345,0.1476
E02000346,0.3133333333333333
E02000347,0.1764
E02000348,0.21680000000000002
E02000350,0.1446
E02000351,0.15416666666666667
E02000352,0.16325
E02000353,0.1234
E02000354,0.2165
E02000355,0.1518
E02000356,0.1405
E02000357,0.3195
E02000358,0.19466666666666668
E02000359,0.17525
E02000360,0.26066666666666666
E02000361,0.17975000000000002
E02000362,0.258
E02000363,0.2895
E02000364,0.163
E02000366,0.2178
E02000367,0.16933333333333334
E02000368,0.25033333333333335
E02000369,0.2535
E02000370,0.265
E02000372,0.2165
E02000373,0.303
E02000374,0.19
E02000375,0.19925
E02000376,0.1865
E02000377,0.18080000000000002
E02000378,0.14950000000000002
E02000379,0.12025
E02000380,0.107
E02000381,0.1234
E02000382,0.11975
E02000383,0.11483333333333333
E02000384,0.21339999999999998
E02000385,0.08049999999999999
E02000386,0.2266
E02000387,0.14975
E02000388,0.1238
E02000389,0.0678
E02000390,0.12325
E02000391,0.0964
E02000392,0.1125
E02000393,0.05275
E02000394,0.12875
E02000395,0.0485
E02000396,0.1385
E02000397,0.15625
E02000398,0.311
E02000400,0.1475
E02000401,0.26525
E02000402,0.27475
E02000403,0.14175
E02000404,0.19075
E02000405,0.0655
E02000406,0.19425
E02000407,0.23825
E02000408,0.24725
E02000409,0.28175
E02000410,0.05575
E02000411,0.212
E02000412,0.20199999999999999
E02000413,0.084
E02000414,0.1785
E02000415,0.17325000000000002
E02000416,0.20825
E02000417,0.06325
E02000418,0.072
E02000419,0.143
E02000420,0.22325
E02000421,0.26825
E02000422,0.19175
E02000423,0.132
E02000424,0.133
E02000425,0.13375
E02000426,0.0915
E02000427,0.145
E02000428,0.2185
E02000429,0.07575
E02000430,0.07875
E02000431,0.05875
E02000432,0.1395
E02000433,0.093
E02000434,0.0935
E02000435,0.1375
E02000436,0.05
E02000437,0.1212
E02000438,0.1376
E02000439,0.1248
E02000440,0.0764
E02000441,0.11775
E02000442,0.086
E02000443,0.16419999999999998
E02000444,0.086
E02000445,0.15225
E02000447,0.09166666666666667
E02000448,0.05
E02000449,0.13
E02000451,0.0555
E02000452,0.12875
E02000453,0.10825000000000001
E02000454,0.04975
E02000455,0.13066666666666668
E02000456,0.114
E02000457,0.08825
E02000459,0.153
E02000460,0.16899999999999998
E02000461,0.0645
E02000462,0.12025
E02000463,0.1436
E02000464,0.17049999999999998
E02000465,0.175
E02000466,0.14620000000000002
E02000467,0.27099999999999996
E02000468,0.1222
E02000469,0.17625000000000002
E02000470,0.07450000000000001
E02000471,0.0588
E02000472,0.08083333333333333
E02000473,0.074
E02000474,0.124
E02000475,0.07133333333333335
E02000476,0.13620000000000002
E02000477,0.04933333333333333
