msoa_id,ring_id,order,x,y,Eligible,Borough
E02000985,E02000985_0,0,373359.3119999999,414224.31200000085,0,Bolton
E02000985,E02000985_0,1,373281.8130000001,414308.81200000085,0,Bolton
E02000985,E02000985_0,2,373292.19739999995,414363.31159999967,0,Bolton
E02000985,E02000985_0,3,373040.3119999999,414398.81200000085,0,Bolton
E02000985,E02000985_0,4,372741.0839999998,414321.65699999966,0,Bolton
E02000985,E02000985_0,5,372581.9840000002,414220.9480000008,0,Bolton
E02000985,E02000985_0,6,372234.9060000004,414220.0,0,Bolton
E02000985,E02000985_0,7,372121.60699999984,414316.79099999927,0,Bolton
E02000985,E02000985_0,8,372076.45299999975,414169.25400000066,0,Bolton
E02000985,E02000985_0,9,372117.31099999975,414028.0639999993,0,Bolton
E02000985,E02000985_0,10,372225.0,413914.0,0,Bolton
E02000985,E02000985_0,11,372183.33800000045,413818.7899999991,0,Bolton
E02000985,E02000985_0,12,372148.0,413863.0,0,Bolton
E02000985,E02000985_0,13,372111.0049999999,413824.8599999994,0,Bolton
E02000985,E02000985_0,14,372089.8490000004,413776.2949999999,0,Bolton
E02000985,E02000985_0,15,372127.1009999998,413793.2280000001,0,Bolton
E02000985,E02000985_0,16,372216.0580000002,413676.0329999998,0,Bolton
E02000985,E02000985_0,17,372139.22449999955,413644.1150000002,0,Bolton
E02000985,E02000985_0,18,372147.04899999965,413614.30700000003,0,Bolton
E02000985,E02000985_0,19,372274.38800000027,413655.26600000076,0,Bolton
E02000985,E02000985_0,20,372329.7089999998,413708.0529999994,0,Bolton
E02000985,E02000985_0,21,372386.1299999999,413689.78500000015,0,Bolton
E02000985,E02000985_0,22,372317.216,413558.9419999998,0,Bolton
E02000985,E02000985_0,23,372348.38900000043,413480.1559999995,0,Bolton
E02000985,E02000985_0,24,372424.0,413462.0,0,Bolton
E02000985,E02000985_0,25,372503.8130000001,413389.9949999992,0,Bolton
E02000985,E02000985_0,26,372503.30700000003,413510.15300000086,0,Bolton
E02000985,E02000985_0,27,372592.34700000007,413614.0580000002,0,Bolton
E02000985,E02000985_0,28,372572.00100000016,413421.16599999927,0,Bolton
E02000985,E02000985_0,29,372543.88100000005,413423.5150000006,0,Bolton
E02000985,E02000985_0,30,372537.0,413340.0,0,Bolton
E02000985,E02000985_0,31,372493.9210000001,413305.52300000004,0,Bolton
E02000985,E02000985_0,32,372430.0939999996,413351.8499999996,0,Bolton
E02000985,E02000985_0,33,372385.4199999999,413342.34500000067,0,Bolton
E02000985,E02000985_0,34,372372.6704000002,413249.32239999995,0,Bolton
