MSOA21CD,LAT,LONG,msoa21cd,ladnm,Eligible,In_Sample
E02001091,53.40304946899414,-2.304569959640503,E02001091,Manchester,1,1
E02001092,53.39999008178711,-2.2824699878692627,E02001092,Manchester,1,1
E02001093,53.391109466552734,-2.2569100856781006,E02001093,Manchester,1,1
E02001094,53.385589599609375,-2.2695300579071045,E02001094,Manchester,1,1
E02001095,53.38251876831055,-2.2834200859069824,E02001095,Manchester,1,1
E02001096,53.37057113647461,-2.251699924468994,E02001096,Manchester,1,1
E02001097,53.359580993652344,-2.2830700874328613,E02001097,Manchester,1,1
E02001098,53.58699035644531,-2.1095800399780273,E02001098,Oldham,0,0
E02001099,53.58604049682617,-2.088520050048828,E02001099,Oldham,0,0
E02001100,53.58168029785156,-2.068279981613159,E02001100,Oldham,0,0
E02001101,53.576019287109375,-2.1388099193573,E02001101,Oldham,0,0
E02001102,53.56869125366211,-2.1114799976348877,E02001102,Oldham,0,0
E02001103,53.5771484375,-1.9928200244903564,E02001103,Oldham,0,0
E02001104,53.56549835205078,-2.07381010055542,E02001104,Oldham,0,0
E02001105,53.56290054321289,-2.138129949569702,E02001105,Oldham,0,0
E02001106,53.55931091308594,-2.10971999168396,E02001106,Oldham,0,0
E02001107,53.556339263916016,-2.1552999019622803,E02001107,Oldham,0,0
E02001108,53.55215835571289,-2.091370105743408,E02001108,Oldham,1,0
E02001109,53.550140380859375,-2.080120086669922,E02001109,Oldham,1,0
E02001110,53.549251556396484,-2.0300099849700928,E02001110,Oldham,0,0
E02001111,53.5482292175293,-2.111020088195801,E02001111,Oldham,1,0
E02001112,53.54254913330078,-2.1673901081085205,E02001112,Oldham,0,0
E02001113,53.54751968383789,-2.1262600421905518,E02001113,Oldham,1,0
E02001114,53.54233932495117,-2.1434099674224854,E02001114,Oldham,1,0
E02001115,53.531890869140625,-2.0663199424743652,E02001115,Oldham,0,0
E02001116,53.534488677978516,-2.0875298976898193,E02001116,Oldham,1,0
E02001117,53.529029846191406,-1.9737099409103394,E02001117,Oldham,0,0
E02001118,53.53923034667969,-2.0403800010681152,E02001118,Oldham,0,0
E02001119,53.53491973876953,-2.098870038986206,E02001119,Oldham,1,0
E02001121,53.53546142578125,-2.1133599281311035,E02001121,Oldham,1,0
E02001123,53.52878952026367,-2.0738298892974854,E02001123,Oldham,1,0
E02001124,53.52703094482422,-2.1403400897979736,E02001124,Oldham,1,0
E02001125,53.52558898925781,-2.1560099124908447,E02001125,Oldham,0,0
E02001126,53.52210998535156,-2.105870008468628,E02001126,Oldham,1,0
E02001127,53.51675033569336,-2.127379894256592,E02001127,Oldham,1,0
E02001128,53.5171012878418,-2.1433699131011963,E02001128,Oldham,1,0
E02001129,53.508689880371094,-2.162260055541992,E02001129,Oldham,1,0
E02001130,53.50461959838867,-2.13713002204895,E02001130,Oldham,0,0
E02001131,53.50008010864258,-2.1603899002075195,E02001131,Oldham,0,0
E02001132,53.659278869628906,-2.0932600498199463,E02001132,Rochdale,0,0
E02001133,53.6597900390625,-2.1321001052856445,E02001133,Rochdale,0,0
E02001134,53.63508987426758,-2.0812900066375732,E02001134,Rochdale,0,0
E02001135,53.62662124633789,-2.1326000690460205,E02001135,Rochdale,1,0
E02001136,53.633060455322266,-2.160330057144165,E02001136,Rochdale,0,0
E02001137,53.64432907104492,-2.220639944076538,E02001137,Rochdale,0,0
E02001138,53.62382888793945,-2.2037999629974365,E02001138,Rochdale,0,0
E02001139,53.62110900878906,-2.1434500217437744,E02001139,Rochdale,1,0
E02001140,53.61872863769531,-2.177999973297119,E02001140,Rochdale,1,0
E02001141,53.61724853515625,-2.162950038909912,E02001141,Rochdale,1,0
E02001142,53.6107292175293,-2.196890115737915,E02001142,Rochdale,0,0
E02001143,53.607208251953125,-2.1359500885009766,E02001143,Rochdale,1,0
E02001144,53.605628967285156,-2.118530035018921,E02001144,Rochdale,0,0
E02001145,53.611568450927734,-2.0714099407196045,E02001145,Rochdale,0,0
E02001146,53.605560302734375,-2.1553800106048584,E02001146,Rochdale,1,0
E02001147,53.592620849609375,-2.1412200927734375,E02001147,Rochdale,1,0
E02001148,53.587711334228516,-2.178339958190918,E02001148,Rochdale,1,0
E02001149,53.59297180175781,-2.2230000495910645,E02001149,Rochdale,1,0
E02001150,53.58803176879883,-2.2565701007843018,E02001150,Rochdale,1,0
E02001151,53.57862854003906,-2.2186200618743896,E02001151,Rochdale,0,0
E02001152,53.5677490234375,-2.1780500411987305,E02001152,Rochdale,1,0
E02001153,53.56079864501953,-2.222330093383789,E02001153,Rochdale,1,0
E02001154,53.54975891113281,-2.180269956588745,E02001154,Rochdale,1,0
