Borough,x,y,xend,yend
Bolton,360950.1869999999,412739.5309999995,360982.50100000016,412703.9059999995
Bolton,360831.4689999996,412767.375,360950.1869999999,412739.5309999995
Bolton,360732.3099999996,412845.7190000005,360831.4689999996,412767.375
Bolton,360666.5939999996,412855.9059999995,360732.3099999996,412845.7190000005
Bolton,360574.49899999984,412702.2479999997,360666.5939999996,412855.9059999995
Bolton,360558.0,412665.4059999995,360574.49899999984,412702.2479999997
Bolton,360349.9060000004,412595.1870000009,360558.0,412665.4059999995
Bolton,360276.3099999996,412591.0,360349.9060000004,412595.1870000009
Bolton,360223.79000000004,412634.3059999999,360276.3099999996,412591.0
Bolton,360073.7189999996,412443.1870000009,360223.79000000004,412634.3059999999
Bolton,359983.0029999996,412411.4039999992,360073.7189999996,412443.1870000009
Bolton,359824.4060000004,412368.3120000009,359983.0029999996,412411.4039999992
Bolton,359713.3119999999,412247.125,359824.4060000004,412368.3120000009
Bolton,359649.4060000004,412218.9690000005,359713.3119999999,412247.125
Bolton,359583.8119999999,412097.125,359649.4060000004,412218.9690000005
Bolton,359500.693,412073.0969999992,359583.8119999999,412097.125
Bolton,359385.2189999996,411975.8120000009,359500.693,412073.0969999992
Bolton,359384.9060000004,411817.7190000005,359385.2189999996,411975.8120000009
Bolton,359344.5,411732.40300000086,359384.9060000004,411817.7190000005
Bolton,359344.5,411732.40300000086,359377.8119999999,411651.375
Bolton,359318.5,411458.0,359377.8119999999,411651.375
Bolton,359254.0939999996,411395.3120000009,359318.5,411458.0
Bolton,359253.0939999996,411347.0950000007,359254.0939999996,411395.3120000009
Bolton,359200.5,411324.5969999992,359253.0939999996,411347.0950000007
Bolton,359200.5,411324.5969999992,359235.40299999993,411204.9049999993
Bolton,359147.1869999999,411157.2809999995,359235.40299999993,411204.9049999993
Bolton,359060.37849999964,411025.4965000004,359147.1869999999,411157.2809999995
Bolton,359010.90699999966,411019.0020000003,359060.37849999964,411025.4965000004
Bolton,358967.82749999966,411052.9735000003,359010.90699999966,411019.0020000003
Bolton,358869.4689999996,410956.2190000005,358967.82749999966,411052.9735000003
Bolton,358794.9060000004,410988.0309999995,358869.4689999996,410956.2190000005
Bolton,358669.99899999984,410970.3090000004,358794.9060000004,410988.0309999995
Bolton,358514.3119999999,410735.0950000007,358669.99899999984,410970.3090000004
Bolton,358487.50100000016,410608.8120000009,358514.3119999999,410735.0950000007
Bolton,358487.50100000016,410608.8120000009,358556.0939999996,410496.2809999995
Bolton,358556.0939999996,410496.2809999995,358808.9060000004,410517.0940000005
Bolton,358808.9060000004,410517.0940000005,359008.0,410602.1870000009
Bolton,359008.0,410602.1870000009,359063.9060000004,410660.8120000009
Bolton,359063.9060000004,410660.8120000009,359186.8090000004,410679.99899999984
Bolton,359186.8090000004,410679.99899999984,359302.4060000004,410635.2809999995
Bolton,359302.4060000004,410635.2809999995,359556.0939999996,410607.8120000009
Bolton,359556.0939999996,410607.8120000009,359869.6869999999,410447.0
Bolton,359869.6869999999,410447.0,359966.0,410359.9049999993
Bolton,359966.0,410359.9049999993,360164.0,410347.3120000009
Bolton,360164.0,410347.3120000009,360268.6500000004,410418.0537000001
Bolton,360268.6500000004,410418.0537000001,360625.5,410415.6870000009
Bolton,360625.5,410415.6870000009,360682.6869999999,410330.0
Bolton,360682.6869999999,410330.0,360889.1160000004,410242.2919999994
Bolton,360889.1160000004,410242.2919999994,361367.51300000027,409985.9600000009
Bolton,361367.51300000027,409985.9600000009,361572.9979999997,409724.0950000007
Bolton,361572.9979999997,409724.0950000007,361843.5939999996,409543.5
Bolton,361843.5939999996,409543.5,361852.426,409389.9149999991
Bolton,361751.5,409196.1870000009,361852.426,409389.9149999991
Bolton,361751.5,409196.1870000009,361850.9000000004,409102.3819999993
